epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.4702,1.73861,3.12226,1.76355,0.00747,1,0.067,0.02611,1.20093,3.36537,1.4036,2.858e-05,2.858e-05,2.858e-05
2,18.4614,1.54953,3.01639,1.66278,0.00763,1,0.09645,0.04236,0.94696,3.29439,1.28087,6.92395e-05,6.92395e-05,6.92395e-05
3,27.0976,1.23539,2.8984,1.48921,0.00782,1,0.18062,0.09966,0.97386,3.30631,1.28806,0.000107246,0.000107246,0.000107246
4,35.9685,1.02048,2.63787,1.33704,0.00792,1,0.24914,0.11469,1.36007,3.36728,1.54881,0.000142601,0.000142601,0.000142601
5,44.8578,0.93404,2.36318,1.30246,0.00785,1,0.37311,0.2327,1.16288,3.2583,1.41225,0.000175303,0.000175303,0.000175303
6,53.6488,0.89506,1.97085,1.25585,0.0074,0.9697,0.57531,0.40984,0.97066,3.06218,1.29842,0.000205352,0.000205352,0.000205352
7,62.2301,0.9601,1.88897,1.25283,0.00766,1,0.68363,0.50622,0.83702,2.89044,1.15445,0.000232748,0.000232748,0.000232748
8,70.9032,0.82155,1.51756,1.21904,0.00765,1,0.73671,0.52676,0.84928,2.82473,1.16888,0.000257492,0.000257492,0.000257492
9,79.7255,0.97869,1.61484,1.30302,0.62496,0.78494,0.76175,0.56398,0.95414,2.75503,1.27752,0.000279584,0.000279584,0.000279584
10,88.2921,0.90543,1.42791,1.22862,0.71275,0.41118,0.69757,0.51654,0.96905,2.78734,1.25982,0.000299023,0.000299023,0.000299023
11,96.7867,0.82857,1.20031,1.18333,1,0.11971,0.76412,0.58987,0.84138,2.717,1.13523,0.000315809,0.000315809,0.000315809
12,105.297,0.77147,1.10084,1.15004,1,0.2281,0.84776,0.66372,0.82175,2.57135,1.11809,0.000329943,0.000329943,0.000329943
13,113.869,0.79335,1.064,1.14898,0.91461,0.78418,0.94217,0.72624,0.79508,1.8907,1.14855,0.000341424,0.000341424,0.000341424
14,122.392,0.78308,1.02858,1.16983,0.88915,0.87528,0.96007,0.73739,0.77655,1.58078,1.1577,0.000350252,0.000350252,0.000350252
15,130.87,0.90485,1.01118,1.22595,0.92821,0.87967,0.96078,0.74048,0.74989,1.41405,1.12873,0.000356428,0.000356428,0.000356428
16,139.377,0.83468,0.96976,1.18522,0.93159,0.90909,0.95533,0.71986,0.74978,1.44181,1.10021,0.000359952,0.000359952,0.000359952
17,147.83,0.82598,0.98181,1.17357,0.93701,0.87879,0.96137,0.76597,0.77324,1.43434,1.15623,0.000360822,0.000360822,0.000360822
18,156.41,0.80877,0.93922,1.17469,0.87999,0.93939,0.96928,0.77962,0.77458,1.34872,1.15926,0.000359041,0.000359041,0.000359041
19,164.972,0.8416,0.941,1.13862,0.91885,0.95321,0.96292,0.7174,0.80783,1.3561,1.16031,0.000354606,0.000354606,0.000354606
20,173.542,0.79099,0.92034,1.14407,0.94464,0.97761,0.995,0.70898,0.82441,1.42781,1.15888,0.000347519,0.000347519,0.000347519
21,182.667,0.80249,0.90841,1.16442,0.91128,0.97819,0.98577,0.67106,0.88774,1.44134,1.1993,0.00033778,0.00033778,0.00033778
22,191.303,0.78414,0.93499,1.14284,0.85476,0.99211,0.99,0.764,0.87689,1.34751,1.20228,0.000325388,0.000325388,0.000325388
23,200.239,0.67855,1.1713,1.15081,0.94883,0.95444,0.99038,0.76451,0.8043,1.25292,1.12717,0.000310343,0.000310343,0.000310343
24,208.725,0.76817,1.32845,1.20586,0.95201,0.96032,0.98857,0.7894,0.7627,1.23521,1.12859,0.000292646,0.000292646,0.000292646
25,217.403,0.70149,1.10319,1.11617,0.92013,0.91847,0.94943,0.77856,0.75795,1.30305,1.18867,0.000272296,0.000272296,0.000272296
26,225.815,0.7205,1.08391,1.1656,0.91411,0.92545,0.966,0.77319,0.77296,1.39523,1.20204,0.000249294,0.000249294,0.000249294
27,234.34,0.64621,1.10025,1.08875,0.89663,0.90811,0.95757,0.76885,0.79628,1.53344,1.20328,0.000223639,0.000223639,0.000223639
28,242.936,0.66274,1.03753,1.15659,0.8948,0.83441,0.94681,0.77653,0.813,1.60911,1.20138,0.000195331,0.000195331,0.000195331
29,251.518,0.6468,1.00832,1.11835,0.8948,0.83441,0.94681,0.77653,0.813,1.60911,1.20138,0.000164371,0.000164371,0.000164371
30,259.993,0.62241,0.9917,1.14215,0.93002,0.8305,0.9498,0.79562,0.80023,1.52785,1.17947,0.000130758,0.000130758,0.000130758
31,268.466,0.60534,0.96119,1.12123,0.93062,0.91138,0.97504,0.80893,0.7894,1.42346,1.1566,9.44926e-05,9.44926e-05,9.44926e-05
32,277.11,0.63627,0.95057,1.10186,0.93584,0.90902,0.98577,0.81707,0.75708,1.33441,1.10257,5.55747e-05,5.55747e-05,5.55747e-05
